Season,Region,County,CDC Week,Week Ending Date,Age Group,Count,Centroid,FIPS
2023-2024,CENTRAL,CHENANGO,45,11/11/2023,0-4,1,"(42.489732, -75.6049051)",36017
2023-2024,CENTRAL,CHENANGO,45,11/11/2023,5-17,1,"(42.489732, -75.6049051)",36017
2023-2024,CENTRAL,CHENANGO,45,11/11/2023,18-49,1,"(42.489732, -75.6049051)",36017
2023-2024,CENTRAL,CHENANGO,45,11/11/2023,50-64,0,"(42.489732, -75.6049051)",36017
2023-2024,CENTRAL,CHENANGO,45,11/11/2023,65+,1,"(42.489732, -75.6049051)",36017
2023-2024,CENTRAL,CHENANGO,45,11/11/2023,UNKNOWN,0,"(42.489732, -75.6049051)",36017
2023-2024,CENTRAL,CHENANGO,46,11/18/2023,0-4,0,"(42.489732, -75.6049051)",36017
2023-2024,CENTRAL,CHENANGO,46,11/18/2023,5-17,0,"(42.489732, -75.6049051)",36017
2023-2024,CENTRAL,CHENANGO,46,11/18/2023,18-49,0,"(42.489732, -75.6049051)",36017
2023-2024,CENTRAL,CHENANGO,46,11/18/2023,50-64,0,"(42.489732, -75.6049051)",36017
2023-2024,CENTRAL,CHENANGO,46,11/18/2023,65+,0,"(42.489732, -75.6049051)",36017
2023-2024,CENTRAL,CHENANGO,46,11/18/2023,UNKNOWN,0,"(42.489732, -75.6049051)",36017
2023-2024,CENTRAL,CHENANGO,47,11/25/2023,0-4,0,"(42.489732, -75.6049051)",36017
2023-2024,CENTRAL,CHENANGO,47,11/25/2023,5-17,0,"(42.489732, -75.6049051)",36017
2023-2024,CENTRAL,CHENANGO,47,11/25/2023,18-49,0,"(42.489732, -75.6049051)",36017
2023-2024,CENTRAL,CHENANGO,47,11/25/2023,50-64,0,"(42.489732, -75.6049051)",36017
2023-2024,CENTRAL,CHENANGO,47,11/25/2023,65+,0,"(42.489732, -75.6049051)",36017
2023-2024,CENTRAL,CHENANGO,47,11/25/2023,UNKNOWN,0,"(42.489732, -75.6049051)",36017
2023-2024,CENTRAL,CHENANGO,48,12/02/2023,0-4,0,"(42.489732, -75.6049051)",36017
2023-2024,CENTRAL,CHENANGO,48,12/02/2023,5-17,0,"(42.489732, -75.6049051)",36017
2023-2024,CENTRAL,CHENANGO,48,12/02/2023,18-49,1,"(42.489732, -75.6049051)",36017
2023-2024,CENTRAL,CHENANGO,48,12/02/2023,50-64,0,"(42.489732, -75.6049051)",36017
2023-2024,CENTRAL,CHENANGO,48,12/02/2023,65+,0,"(42.489732, -75.6049051)",36017
2023-2024,CENTRAL,CHENANGO,48,12/02/2023,UNKNOWN,0,"(42.489732, -75.6049051)",36017
2023-2024,CENTRAL,CHENANGO,49,12/09/2023,0-4,2,"(42.489732, -75.6049051)",36017
2023-2024,CENTRAL,CHENANGO,49,12/09/2023,5-17,0,"(42.489732, -75.6049051)",36017
2023-2024,CENTRAL,CHENANGO,49,12/09/2023,18-49,2,"(42.489732, -75.6049051)",36017
2023-2024,CENTRAL,CHENANGO,49,12/09/2023,50-64,1,"(42.489732, -75.6049051)",36017
2023-2024,CENTRAL,CHENANGO,49,12/09/2023,65+,2,"(42.489732, -75.6049051)",36017
2023-2024,CENTRAL,CHENANGO,49,12/09/2023,UNKNOWN,0,"(42.489732, -75.6049051)",36017
2023-2024,CENTRAL,CHENANGO,50,12/16/2023,0-4,0,"(42.489732, -75.6049051)",36017
2023-2024,CENTRAL,CHENANGO,50,12/16/2023,5-17,8,"(42.489732, -75.6049051)",36017
2023-2024,CENTRAL,CHENANGO,50,12/16/2023,18-49,2,"(42.489732, -75.6049051)",36017
2023-2024,CENTRAL,CHENANGO,50,12/16/2023,50-64,0,"(42.489732, -75.6049051)",36017
2023-2024,CENTRAL,CHENANGO,50,12/16/2023,65+,1,"(42.489732, -75.6049051)",36017
2023-2024,CENTRAL,CHENANGO,50,12/16/2023,UNKNOWN,0,"(42.489732, -75.6049051)",36017
2023-2024,CENTRAL,CHENANGO,51,12/23/2023,0-4,7,"(42.489732, -75.6049051)",36017
2023-2024,CENTRAL,CHENANGO,51,12/23/2023,5-17,32,"(42.489732, -75.6049051)",36017
2023-2024,CENTRAL,CHENANGO,51,12/23/2023,18-49,9,"(42.489732, -75.6049051)",36017
2023-2024,CENTRAL,CHENANGO,51,12/23/2023,50-64,2,"(42.489732, -75.6049051)",36017
2023-2024,CENTRAL,CHENANGO,51,12/23/2023,65+,4,"(42.489732, -75.6049051)",36017
2023-2024,CENTRAL,CHENANGO,51,12/23/2023,UNKNOWN,0,"(42.489732, -75.6049051)",36017
2023-2024,CENTRAL,CHENANGO,52,12/30/2023,0-4,10,"(42.489732, -75.6049051)",36017
2023-2024,CENTRAL,CHENANGO,52,12/30/2023,5-17,26,"(42.489732, -75.6049051)",36017
2023-2024,CENTRAL,CHENANGO,52,12/30/2023,18-49,18,"(42.489732, -75.6049051)",36017
2023-2024,CENTRAL,CHENANGO,52,12/30/2023,50-64,5,"(42.489732, -75.6049051)",36017
2023-2024,CENTRAL,CHENANGO,52,12/30/2023,65+,12,"(42.489732, -75.6049051)",36017
2023-2024,CENTRAL,CHENANGO,52,12/30/2023,UNKNOWN,0,"(42.489732, -75.6049051)",36017
2023-2024,CAPITAL DISTRICT,CLINTON,40,10/07/2023,0-4,3,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,40,10/07/2023,5-17,3,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,40,10/07/2023,18-49,3,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,40,10/07/2023,50-64,1,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,40,10/07/2023,65+,1,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,40,10/07/2023,UNKNOWN,0,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,41,10/14/2023,0-4,2,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,41,10/14/2023,5-17,0,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,41,10/14/2023,18-49,1,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,41,10/14/2023,50-64,1,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,41,10/14/2023,65+,0,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,41,10/14/2023,UNKNOWN,0,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,42,10/21/2023,0-4,0,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,42,10/21/2023,5-17,1,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,42,10/21/2023,18-49,3,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,42,10/21/2023,50-64,2,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,42,10/21/2023,65+,3,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,42,10/21/2023,UNKNOWN,0,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,43,10/28/2023,0-4,0,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,43,10/28/2023,5-17,2,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,43,10/28/2023,18-49,0,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,43,10/28/2023,50-64,1,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,43,10/28/2023,65+,0,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,43,10/28/2023,UNKNOWN,0,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,44,11/04/2023,0-4,0,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,44,11/04/2023,5-17,2,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,44,11/04/2023,18-49,0,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,44,11/04/2023,50-64,0,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,44,11/04/2023,65+,0,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,44,11/04/2023,UNKNOWN,0,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,45,11/11/2023,0-4,1,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,45,11/11/2023,5-17,3,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,45,11/11/2023,18-49,0,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,45,11/11/2023,50-64,0,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,45,11/11/2023,65+,2,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,45,11/11/2023,UNKNOWN,0,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,46,11/18/2023,0-4,1,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,46,11/18/2023,5-17,0,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,46,11/18/2023,18-49,1,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,46,11/18/2023,50-64,0,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,46,11/18/2023,65+,1,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,46,11/18/2023,UNKNOWN,0,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,47,11/25/2023,0-4,1,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,47,11/25/2023,5-17,0,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,47,11/25/2023,18-49,1,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,47,11/25/2023,50-64,0,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,47,11/25/2023,65+,0,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,47,11/25/2023,UNKNOWN,0,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,48,12/02/2023,0-4,1,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,48,12/02/2023,5-17,4,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,48,12/02/2023,18-49,8,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,48,12/02/2023,50-64,2,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,48,12/02/2023,65+,1,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,48,12/02/2023,UNKNOWN,0,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,49,12/09/2023,0-4,3,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,49,12/09/2023,5-17,4,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,49,12/09/2023,18-49,9,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,49,12/09/2023,50-64,0,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,49,12/09/2023,65+,4,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,49,12/09/2023,UNKNOWN,0,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,50,12/16/2023,0-4,3,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,50,12/16/2023,5-17,3,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,50,12/16/2023,18-49,3,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,50,12/16/2023,50-64,8,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,50,12/16/2023,65+,6,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,50,12/16/2023,UNKNOWN,0,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,51,12/23/2023,0-4,4,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,51,12/23/2023,5-17,3,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,51,12/23/2023,18-49,10,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,51,12/23/2023,50-64,7,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,51,12/23/2023,65+,2,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,51,12/23/2023,UNKNOWN,0,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,52,12/30/2023,0-4,12,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,52,12/30/2023,5-17,9,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,52,12/30/2023,18-49,9,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,52,12/30/2023,50-64,6,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,52,12/30/2023,65+,3,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,CLINTON,52,12/30/2023,UNKNOWN,0,"(44.7527103, -73.7056478)",36019
2023-2024,CAPITAL DISTRICT,COLUMBIA,40,10/07/2023,0-4,1,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,40,10/07/2023,5-17,0,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,40,10/07/2023,18-49,0,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,40,10/07/2023,50-64,0,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,40,10/07/2023,65+,0,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,40,10/07/2023,UNKNOWN,0,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,41,10/14/2023,0-4,1,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,41,10/14/2023,5-17,0,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,41,10/14/2023,18-49,0,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,41,10/14/2023,50-64,1,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,41,10/14/2023,65+,1,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,41,10/14/2023,UNKNOWN,0,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,42,10/21/2023,0-4,0,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,42,10/21/2023,5-17,0,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,42,10/21/2023,18-49,0,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,42,10/21/2023,50-64,0,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,42,10/21/2023,65+,0,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,42,10/21/2023,UNKNOWN,0,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,43,10/28/2023,0-4,0,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,43,10/28/2023,5-17,0,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,43,10/28/2023,18-49,0,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,43,10/28/2023,50-64,0,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,43,10/28/2023,65+,0,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,43,10/28/2023,UNKNOWN,0,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,44,11/04/2023,0-4,1,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,44,11/04/2023,5-17,0,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,44,11/04/2023,18-49,0,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,44,11/04/2023,50-64,0,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,44,11/04/2023,65+,0,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,44,11/04/2023,UNKNOWN,0,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,45,11/11/2023,0-4,2,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,45,11/11/2023,5-17,0,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,45,11/11/2023,18-49,0,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,45,11/11/2023,50-64,0,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,45,11/11/2023,65+,1,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,45,11/11/2023,UNKNOWN,0,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,46,11/18/2023,0-4,1,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,46,11/18/2023,5-17,0,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,46,11/18/2023,18-49,0,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,46,11/18/2023,50-64,1,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,46,11/18/2023,65+,0,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,46,11/18/2023,UNKNOWN,0,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,47,11/25/2023,0-4,0,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,47,11/25/2023,5-17,1,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,47,11/25/2023,18-49,0,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,47,11/25/2023,50-64,0,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,47,11/25/2023,65+,0,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,47,11/25/2023,UNKNOWN,0,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,48,12/02/2023,0-4,1,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,48,12/02/2023,5-17,0,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,48,12/02/2023,18-49,2,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,48,12/02/2023,50-64,2,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,48,12/02/2023,65+,3,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,48,12/02/2023,UNKNOWN,0,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,49,12/09/2023,0-4,0,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,49,12/09/2023,5-17,1,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,49,12/09/2023,18-49,1,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,49,12/09/2023,50-64,1,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,49,12/09/2023,65+,1,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,49,12/09/2023,UNKNOWN,0,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,50,12/16/2023,0-4,1,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,50,12/16/2023,5-17,2,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,50,12/16/2023,18-49,2,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,50,12/16/2023,50-64,3,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,50,12/16/2023,65+,1,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,50,12/16/2023,UNKNOWN,0,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,51,12/23/2023,0-4,0,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,51,12/23/2023,5-17,5,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,51,12/23/2023,18-49,4,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,51,12/23/2023,50-64,4,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,51,12/23/2023,65+,2,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,51,12/23/2023,UNKNOWN,0,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,52,12/30/2023,0-4,1,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,52,12/30/2023,5-17,5,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,52,12/30/2023,18-49,9,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,52,12/30/2023,50-64,6,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,52,12/30/2023,65+,6,"(42.2477286, -73.6268046)",36021
2023-2024,CAPITAL DISTRICT,COLUMBIA,52,12/30/2023,UNKNOWN,0,"(42.2477286, -73.6268046)",36021
2023-2024,CENTRAL,CORTLAND,40,10/07/2023,0-4,0,"(42.5938237, -76.0762647)",36023
2023-2024,CENTRAL,CORTLAND,40,10/07/2023,5-17,0,"(42.5938237, -76.0762647)",36023
2023-2024,CENTRAL,CORTLAND,40,10/07/2023,18-49,0,"(42.5938237, -76.0762647)",36023
2023-2024,CENTRAL,CORTLAND,40,10/07/2023,50-64,0,"(42.5938237, -76.0762647)",36023
2023-2024,CENTRAL,CORTLAND,40,10/07/2023,65+,0,"(42.5938237, -76.0762647)",36023
2023-2024,CENTRAL,CORTLAND,40,10/07/2023,UNKNOWN,0,"(42.5938237, -76.0762647)",36023
2023-2024,CENTRAL,CORTLAND,41,10/14/2023,0-4,0,"(42.5938237, -76.0762647)",36023
2023-2024,CENTRAL,CORTLAND,41,10/14/2023,5-17,0,"(42.5938237, -76.0762647)",36023
2023-2024,CENTRAL,CORTLAND,41,10/14/2023,18-49,0,"(42.5938237, -76.0762647)",36023
2023-2024,CENTRAL,CORTLAND,41,10/14/2023,50-64,0,"(42.5938237, -76.0762647)",36023
2023-2024,CENTRAL,CORTLAND,41,10/14/2023,65+,0,"(42.5938237, -76.0762647)",36023
2023-2024,CENTRAL,CORTLAND,41,10/14/2023,UNKNOWN,0,"(42.5938237, -76.0762647)",36023
2023-2024,CENTRAL,CORTLAND,42,10/21/2023,0-4,0,"(42.5938237, -76.0762647)",36023
2023-2024,CENTRAL,CORTLAND,42,10/21/2023,5-17,1,"(42.5938237, -76.0762647)",36023
2023-2024,CENTRAL,CORTLAND,42,10/21/2023,18-49,0,"(42.5938237, -76.0762647)",36023
2023-2024,CENTRAL,CORTLAND,42,10/21/2023,50-64,0,"(42.5938237, -76.0762647)",36023
2023-2024,CENTRAL,CORTLAND,42,10/21/2023,65+,0,"(42.5938237, -76.0762647)",36023
2023-2024,CENTRAL,CORTLAND,42,10/21/2023,UNKNOWN,0,"(42.5938237, -76.0762647)",36023
2023-2024,CENTRAL,CORTLAND,43,10/28/2023,0-4,0,"(42.5938237, -76.0762647)",36023
2023-2024,CENTRAL,CORTLAND,43,10/28/2023,5-17,0,"(42.5938237, -76.0762647)",36023
2023-2024,CENTRAL,CORTLAND,43,10/28/2023,18-49,1,"(42.5938237, -76.0762647)",36023
2023-2024,CENTRAL,CORTLAND,43,10/28/2023,50-64,0,"(42.5938237, -76.0762647)",36023
2023-2024,CENTRAL,CORTLAND,43,10/28/2023,65+,0,"(42.5938237, -76.0762647)",36023
2023-2024,CENTRAL,CORTLAND,43,10/28/2023,UNKNOWN,0,"(42.5938237, -76.0762647)",36023
2023-2024,CENTRAL,CORTLAND,44,11/04/2023,0-4,0,"(42.5938237, -76.0762647)",36023
2023-2024,CENTRAL,CORTLAND,44,11/04/2023,5-17,0,"(42.5938237, -76.0762647)",36023
2023-2024,CENTRAL,CORTLAND,44,11/04/2023,18-49,1,"(42.5938237, -76.0762647)",36023
2023-2024,CENTRAL,CORTLAND,44,11/04/2023,50-64,0,"(42.5938237, -76.0762647)",36023
2023-2024,CENTRAL,CORTLAND,44,11/04/2023,65+,1,"(42.5938237, -76.0762647)",36023
2023-2024,CENTRAL,CORTLAND,44,11/04/2023,UNKNOWN,0,"(42.5938237, -76.0762647)",36023
2023-2024,CENTRAL,CORTLAND,45,11/11/2023,0-4,0,"(42.5938237, -76.0762647)",36023
2023-2024,CENTRAL,CORTLAND,45,11/11/2023,5-17,0,"(42.5938237, -76.0762647)",36023
2023-2024,CENTRAL,CORTLAND,45,11/11/2023,18-49,2,"(42.5938237, -76.0762647)",36023
2023-2024,CENTRAL,CORTLAND,45,11/11/2023,50-64,1,"(42.5938237, -76.0762647)",36023
2023-2024,CENTRAL,CORTLAND,45,11/11/2023,65+,0,"(42.5938237, -76.0762647)",36023
